"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"3rd Space Googong","https://www.3rdspacegoogong.com.au","73ce2c81-36af-4603-8134-bbc8d6a91385","3rdspacegoogong.com.au.jpg","27 Beltana Ave, Googong NSW 2620, Australia","-35.4176437","149.2334303","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#fdf1dd","IC50A80BFA8C3F28E","ChIJ-_sv4PJJFmsRQhW9yMTCgW0","5812","(?i)3rd Space Googong","[`3rd Space Googong, GOOGONG`]"
"A by Adina","https://abyadina.com","51bbc97a-3c02-4b66-bca0-20855aa8e2da","abyadina.com.jpg","","","","e83de4ef-e05b-4219-9a02-70b8590c7cb0","","","#053236","","","7011","(?i)A BY ADINA",""
"A by Adina - Canberra","https://abyadina.com/en/luxury-hotels/canberra","bc684c73-e84a-4ed6-9f70-832644be1c0b","","1 Constitution Ave, Canberra ACT 2601","-35.2828842","149.1306704","","51bbc97a-3c02-4b66-bca0-20855aa8e2da","","","ICC4DBF31C680AD93","ChIJ_8DUZ2lNFmsRacHBzwlatNY","","(?i)A BY ADINA CANBERRA","[`A BY ADINA CANBERRA     CANBERRA`]"
"A by Adina - Sydney","https://abyadina.com/en/luxury-hotels/sydney","0c102530-5d85-42c6-b398-c4273d871fcb","","2 Hunter Street, Sydney NSW 2000","-33.865551","151.207748","","51bbc97a-3c02-4b66-bca0-20855aa8e2da","","","IE9927A36720CE4BF","ChIJ46gbqUGuEmsRfXMt5hqsiSM","","(?i)A BY ADINA SYDNEY","[`A BY ADINA SYDNEY       STRAWBERRY HILL`]"
"Adina","https://adinahotels.com","fe3fed58-fe10-4e7c-95c8-b2bb6e11a56f","adinahotels.com.jpg","","","","e83de4ef-e05b-4219-9a02-70b8590c7cb0","","","#596b56","","","7011","(?i)ADINA",""
"Adina - Bondi","","1ff4c7f6-6825-4831-87a3-ad9ce27552f5","","69-73 Hall Street, Bondi Beach NSW 2026","-33.8902826","151.2724533","","fe3fed58-fe10-4e7c-95c8-b2bb6e11a56f","","","I93CF43C5692B8210","ChIJhd2ifpmtEmsR_ku11jWWMLQ","","(?i)(?:ADINA BONDI|^ADINA APARTMENT HOTEL B\b)","[`ADINA APARTMENT HOTEL B ULTIMO`, `ADINA BONDI BEACH`]"
"Aesop - Bondi Junction","https://www.aesop.com.au/stores/au/nsw/bondi-junction/01057.html","6ae649ec-e9dd-4f09-958b-8f1772aafd23","","3038/500 Oxford St, Bondi Junction NSW 2022, Australia","-33.8924346","151.250524","","7e391e1f-8a75-4362-80a7-58ce960bf454","","","I3B578562FFDAB3D0","ChIJCZzq-vCtEmsRBP4aMINGNcA","5977","(?i)AESOP BONDI","[`AESOP BONDI JUNCTION ADYEN`]"
"Amber Electric","https://amber.com.au","1d9fe754-a22a-46cf-8159-fdee6dfaf644","amber.com.au.jpg","","","","dd9ef4e3-dcb3-4f27-a121-0a0af83a5b27","","","","","","4900","(?i)Amber\s*Electric","[`Amber Electric Pty`, `AmberElectric       1234567890`]"
"Anita Gelato","https://www.anita-gelato.com/","016b83e4-1b26-475f-9e80-1653931014fa","anita-gelato.com.jpg","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#ef1554","","","5451","(?i)Anita","[`LS ANITA GELATO`, `ANITA GELATO`]"
"Anita Gelato - Bondi Beach","https://www.anita-gelato.com/","87a36548-db10-46ed-9bcd-7358a15f8f48","","180 Campbell Parade, Bondi Beach NSW 2026, Australia","-33.8893474","151.2757978","","016b83e4-1b26-475f-9e80-1653931014fa","","","IACB4CE942C5C4F0A","ChIJmW0fv56tEmsRPJMmDKiTudE","5451","(?i)ANITA BB","[`ANITA BB                 Bondi Beach NSW`, `ANITA BB 66325          BONDI BEACH`, `ANITA BB, Bondi Beach`]"
"Anita Gelato - Canberra","https://www.anita-gelato.com/","ebdc6dc7-3888-407f-a807-b77d8d97a3ad","","148 Bunda St, Canberra ACT 2601, Australia","-35.2781843","149.1329664","","016b83e4-1b26-475f-9e80-1653931014fa","","","I3A5F350B536AD093","ChIJPZI14GVNFmsRV8wlOraA4oY","5451","(?i)ANITA ?GELATO\s+CANBERRA","[`AnitaGelato Canberra     Canberra    ACT`, `LS Anita Gelato          Canberra    AUS`]"
"Anita Gelato - Chippendale","https://www.anita-gelato.com/","e77d2ab2-2ea8-4acd-9abd-fa423eb64742","","28 Broadway, Chippendale NSW 2008, Australia","-33.8848184","151.2004891","","016b83e4-1b26-475f-9e80-1653931014fa","","","ID2313D53971AA6D1","ChIJWefMtieuEmsRDcJxqM4EgM0","5451","(?i)ANITA CK","[`ANITA CK`, `ANITA CK                 Chippendale NSW`, `ANITA CK, Chippendale`, `Anita Ck Chippendale`]"
"Apple - Broadway","https://apple.com","60f1d947-dab8-4903-bbbb-52feb160a0e6","","Broadway Shopping Centre, 1 Bay St, Glebe NSW 2037, Australia","-33.8832335","151.1946569","","04eb38e9-d678-4d44-90a9-1786f12effd6","","","IC0B9621ADE8769BA","ChIJg78CuimuEmsR6cPNiotz9Hg","5732","(?i)APPLE.*R523","[`APPLE R523 BROADWAY, ULTIMO`]"
"Apple - Canberra","https://apple.com","070e812f-5a24-4fef-a109-c602167d1afe","","Canberra Centre, 148 Bunda St, Canberra ACT 2601, Australia","-35.2804193","149.1337271","","04eb38e9-d678-4d44-90a9-1786f12effd6","","","IB8B47855EF8471CC","ChIJk98782VNFmsRhFJImhhraIQ","5732","(?i)APPLE.*R483","[`APPLE STORE R483 R483   CANBERRA`]"
"Apple - Hornsby","https://apple.com","11978eec-5849-4ccd-9738-57d13c062e97","","Westfield Hornsby, 236 Pacific Hwy, Hornsby NSW 2077, Australia","-33.7049953","151.1001482","","04eb38e9-d678-4d44-90a9-1786f12effd6","","","","ChIJ-x1LfoSnEmsRTQ7FKUe4j1w","5732","(?i)APPLE.*R458","[`APPLE STORE R458 R458   HORNSBY`]"
"Apple - Sydney","https://apple.com","3700e092-c7d5-4cb3-b1b1-cfdf0aa9c6d8","","367 George St, Sydney NSW 2000, Australia","-33.869036","151.206669","","04eb38e9-d678-4d44-90a9-1786f12effd6","","","I5941C35CB7716AAA","ChIJAeHDcT-uEmsRTUNVCmZk3qg","5732","(?i)APPLE.*R238","[`APPLE R238 SYDNEY        SYDNEY      NSW`, `APPLE RETAIL STORE R238 SYDNEY`, `APPLE STORE R238 R238   SYDNEY`]"
"Ardour - Bowral","https://www.worldsapart.club/ardour/miltonpark","56fe894d-9318-4cd7-8fc4-3610424dfc67","","200 Horderns Rd, Bowral NSW 2576, Australia","-34.4989596","150.4814491","","71c3637b-fd1e-40fe-ba7a-ff59bc78848d","","","I60CD0E753547DBF1","ChIJy4j0LHGiE2sRQJ0H_ZB-Gcw","7011","(?i)MILTON PARK","[`MILTON PARK COUNTRY HOU BOWRAL`]"
