"code","separator","name"
"SQ","*","Square"
"SMP","*","SumUp"
"LSP","*","Lightspeed"
"LIGHTSPEED","*","Lightspeed"
"CKO","*","Checkout.com"
"FSPRG","*","FastSpring"
"FS","*","FastSpring"
"VIVA","*","Viva Wallet"
"PAYPAL","*","PayPal"
"PP","*","PayPal"
"SP","*","Shopify"
"VISA","-","Visa network prefix"
"LS"," ","Lightspeed"
"SUMUP","*","SumUp"
"Zettle_","*","Zettle"
"EB","*","Eventbrite"
"PADDLE.NET","*","Paddle"
"BT","*","Braintree"
"3CPAYMENT","*","3C Payment"
"WINDCAVE","*","Windcave"
"UZR","*","Unzer"
"NET","*","NETS"
"FH","*","Fresha"
"WEB","*","Web payment prefix"
