"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"3rd Space Googong","https://www.3rdspacegoogong.com.au","73ce2c81-36af-4603-8134-bbc8d6a91385","3rdspacegoogong.com.au.jpg","27 Beltana Ave, Googong NSW 2620, Australia","-35.4176437","149.2334303","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#fdf1dd","IC50A80BFA8C3F28E","ChIJ-_sv4PJJFmsRQhW9yMTCgW0","5812","(?i)3rd Space Googong","[`3rd Space Googong, GOOGONG`]"
"7-Eleven","https://www.7eleven.com.au","8017a138-4e13-49fc-97e3-540f10d85a6c","7eleven.com.au.jpg","","","","fd807b04-8cbe-438e-a3e4-f398e70718b8","","","","","","5499","(?i)^7-ELEVEN\b","[`7-ELEVEN 1008 GLEN WAVERLEY VIC`, `7-ELEVEN BOSTON`, `7-ELEVEN #23601 D2821 NORTH VANCOUV, BC`, `7-ELEVEN #54107 HONOLULU HI`, `7-ELEVEN 10645 VIENNA VA`, `7-ELEVEN 01/13 PURCHASE IRVING TX`, `7-ELEVEN #153 000000BEAVER`]"
"A by Adina","https://abyadina.com","51bbc97a-3c02-4b66-bca0-20855aa8e2da","abyadina.com.jpg","","","","e83de4ef-e05b-4219-9a02-70b8590c7cb0","","","#053236","","","7011","(?i)A BY ADINA",""
"A by Adina - Canberra","https://abyadina.com/en/luxury-hotels/canberra","bc684c73-e84a-4ed6-9f70-832644be1c0b","","1 Constitution Ave, Canberra ACT 2601","-35.2828842","149.1306704","","51bbc97a-3c02-4b66-bca0-20855aa8e2da","","","ICC4DBF31C680AD93","ChIJ_8DUZ2lNFmsRacHBzwlatNY","","(?i)A BY ADINA CANBERRA","[`A BY ADINA CANBERRA     CANBERRA`]"
"A by Adina - Sydney","https://abyadina.com/en/luxury-hotels/sydney","0c102530-5d85-42c6-b398-c4273d871fcb","","2 Hunter Street, Sydney NSW 2000","-33.865551","151.207748","","51bbc97a-3c02-4b66-bca0-20855aa8e2da","","","IE9927A36720CE4BF","ChIJ46gbqUGuEmsRfXMt5hqsiSM","","(?i)A BY ADINA SYDNEY","[`A BY ADINA SYDNEY       STRAWBERRY HILL`]"
"Adina","https://adinahotels.com","fe3fed58-fe10-4e7c-95c8-b2bb6e11a56f","adinahotels.com.jpg","","","","e83de4ef-e05b-4219-9a02-70b8590c7cb0","","","#596b56","","","7011","(?i)ADINA",""
"Adina - Bondi","","1ff4c7f6-6825-4831-87a3-ad9ce27552f5","","69-73 Hall Street, Bondi Beach NSW 2026","-33.8902826","151.2724533","","fe3fed58-fe10-4e7c-95c8-b2bb6e11a56f","","","I93CF43C5692B8210","ChIJhd2ifpmtEmsR_ku11jWWMLQ","","(?i)(?:ADINA BONDI|^ADINA APARTMENT HOTEL B\b)","[`ADINA APARTMENT HOTEL B ULTIMO`, `ADINA BONDI BEACH`]"
"Adobe","https://adobe.com","947ae095-5350-4b93-ab89-5c7421795f35","adobe.com.jpg","","","","c9e1fc38-70b3-4517-82e2-a53bdea540d2","","","","","","5817","(?i)ADOBE","[`ADOBE INC`, `ADOBE PREMIERE PRO Adob SAGGART`, `ADOBE Adobe Systems     SAGGART`, `ADOBE PHOTOGPHY PLAN Ad SAGGART`]"
"Aesop","https://aesop.com.au","7e391e1f-8a75-4362-80a7-58ce960bf454","aesop.com.au.jpg","","","","e404caaa-4e2b-42e1-84d5-a6bde0319e7f","","","#333333","","","5977","(?i)AESOP",""
"Aesop - Bondi Junction","https://www.aesop.com.au/stores/au/nsw/bondi-junction/01057.html","6ae649ec-e9dd-4f09-958b-8f1772aafd23","","3038/500 Oxford St, Bondi Junction NSW 2022, Australia","-33.8924346","151.250524","","7e391e1f-8a75-4362-80a7-58ce960bf454","","","I3B578562FFDAB3D0","ChIJCZzq-vCtEmsRBP4aMINGNcA","5977","(?i)AESOP BONDI","[`AESOP BONDI JUNCTION ADYEN`]"
"Afterpay","https://www.afterpay.com","d2dacf7a-0249-465f-ada6-4e80be720447","afterpay.com.jpg","","","","f43efe0c-0ba1-4a28-9071-e7c90495989a","","","","","","","(?i)AFTERPAY","[`AFTERPAY 03/12 PURCHASE 185-52896014 CA`, `AFTERPAY 07/04 PURCHASE 185-52896014 CA`, `PURCH - AFTERPAY 5999 CA SAN FRANCISCO 760 Market Street US`]"
"Airbnb","https://airbnb.com.au","93ae47fd-7816-43ad-bd83-d77a24b09bb5","airbnb.com.au.jpg","","","","e83de4ef-e05b-4219-9a02-70b8590c7cb0","","","#FF385C","","","7011","(?i)AIRBNB","[`AIRBNB`, `AIRBNB * ABC1EF2G20     LONDON`, `AIRBNB * DEF3GH4J50     LONDON`, `AIRBNB * KLM6NP7Q80      Surry Hills AUS`]"
"Aldi","https://www.aldi.com","50874628-6bb2-4ef9-b57f-ec2d36a857be","aldi.co.uk.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","","","","5411","(?i)^ALDI\b","[`ALDI 59 772`, `ALDI STORES`, `ALDI 90 772`, `ALDI 74 776, SOUTH NORWOOD GB`, `ALDI 106 772`, `ALDI STORES BIRMINGHAM GBR`, `ALDI 19 775`, `ALDI 85 779`, `ALDI 108 773`, `ALDI STORES LIVERPOOL GBR`, `ALDI 84 772, BIRMINGHAM GB`, `ALDI 52 776 ROMFORD GB`, `ALDI STORES LONDON GBR`, `ALDI 90 774`, `ALDI 9 775 TROWBRIDGE GB`, `ALDI 87 775 COWES GB`, `ALDI STORES BRISTOL GBR`, `ALDI STORES CATFORD GBR`, `ALDI STORES GLASGOW GBR`, `ALDI 18 777`, `ALDI 104 775 SWINDON GB`, `ALDI STORES READING GBR`, `ALDI 42 776`, `ALDI 776 101`, `ALDI STORES LTD NORWICH GBR`, `ALDI STORES OXFORD GBR`, `ALDI 75 773`, `ALDI 25 780`, `ALDI STORES NETHERTON GBR`, `ALDI 83 776`]"
"Amazon","https://amazon.com","f0b932da-b6b4-4781-8579-4259649be395","amazon.com.jpg","","","","c90dffd1-59a9-409a-9718-5999140d4c4f","","","#fe6202","","","5399","(?i)AMAZON","[`AMAZON AU               SYDNEY SOUTH`, `AMAZON MARKETPLACE AU   SYDNEY SOUTH`, `AMAZON AU RETAIL, SYDNEY`, `AMAZON.COM.AU`]"
"Amazon Fresh","https://amazon.com/fresh","f0cc0d8c-7366-47fc-92b0-a6d64476589c","amazon.com-fresh.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","#13c103","","","5411","(?i)Amazon Fresh","[`Amazon Fresh, AMAZON.CO.UK`]"
"Amazon Prime","https://www.amazon.com/prime","ff634c84-cccb-486c-a24e-cfe8bf4f2a8e","amazon.com-prime.jpg","","","","12447229-0d7e-4cc1-9de2-cc6e333c5e94","","","#0777ff","","","5968","(?i)(?:AMAZON(?: UK)? ?PRIME|AMZN ?PRIME|AMZNPRIME|PRIME ?VID)","[`AMZNPRIMEAU MEMBERSHIP  SYDNEY SOUTH`, `AMZNPRIMEAU MEMBERSHIP`, `Amazon Prime`, `PRIME VIDE* PRIME VIDE  SYDNEY`, `AMAZON PRIME AMZN.CO.UK/PM LUX`, `AMAZON UK PRIME AM`, `AMAZON PRIME AMZN.CO.UK/PM`, `AMAZON PRIME, AMZN.CO.UK/PM LU`, `AMAZON PRIME, AMZN.CO.UK/PM`, `AMAZON UK PRIME, AMZN.C, AMZN.CO.UK/PM LU`, `AMAZON PRIME MEMBE`, `AMAZON UK PRIME AMZN.C LUXEMBOURG LUX`, `AMAZON UK PRIME AM, AMZN.CO.UK/PM`, `AMAZON UK PRIME AMZN.CO.U`, `AMAZON PRIME AMZN.CO.UK/PM LU`, `AMAZON UK PRIME AMZN.CO.U AMZN.CO.UK/PM LU`, `AMAZON PRIME MEMBE, AMZN.CO.UK/PM`, `AMAZON PRIME, MEMBER FE, AMZN.CO.UK/PM LU`, `AMAZON UK PRIME AM AMZN.CO.UK/PM`, `AMAZON PRIME, AMZN.CO.UK/PM LUXEMBOURG`, `AMAZON PRIME MEMBER FEE A AMZN.CO.UK/PM LU`, `AMAZON PRIME, 5 RUE PLAETIS, AMZN.CO.UK/PM, L2338 LUXLUX`, `AMAZON PRIME MEMBE AMZN.CO.UK/PM`, `AMAZONPRIME MEMBER, AMZN.COM/PRME`, `AMAZON PRIME AMZN.CO.UK/PMLUX`, `AMAZON PRIME, AMZN.CO.UK/PM LU, REFUND`, `AMAZON UK PRIME AMZN.CO.`, `AMAZON UK PRIME AMZN.CO.U, AMZN.CO.UK/PM LUXEMBOURG`, `AMAZON UK PRIME AMZN.C AMZN.CO.UK/PM LU`, `AMZN PRIME MEMBER FEE AMZN.CO.UK/PM LUX`, `AMAZON UK PRIME AMZN.C`, `AMAZON UK PRIME AMZN.C, 5 RUE PLAETIS, AMZN.CO.UK/PM, 00000 LUXLUX`, `AMAZON UK PRIME AMZN.C AMZN.CO.UK/PM`, `AMAZON PRIME MEMBER FEE A, AMZN.CO.UK/PM LUXEMBOURG`]"
"Amazon Web Services","https://aws.amazon.com","7c7f1c7c-5716-480c-958d-e138ae7c06f8","aws.amazon.com.jpg","","","","c9e1fc38-70b3-4517-82e2-a53bdea540d2","","","#161d26","","","7372","(?i)AMAZON WEB SERVICES|\bAWS\b","[`AMAZON WEB SERVICES      SYDNEY      NSW`, `AMAZON WEB SERVICES, SYDNEY`]"
"Amber Electric","https://amber.com.au","1d9fe754-a22a-46cf-8159-fdee6dfaf644","amber.com.au.jpg","","","","dd9ef4e3-dcb3-4f27-a121-0a0af83a5b27","","","","","","4900","(?i)Amber\s*Electric","[`Amber Electric Pty`, `AmberElectric       1234567890`]"
"American Express","https://americanexpress.com","3828a7d0-9c94-4774-8aa6-9bf7b07053a6","americanexpress.com.jpeg","","","","0d5e55e5-2f3c-48f3-8915-c4ac24056deb","","","","","","6012","(?i)American Express|\bAmex\b","[`AMEX Platinum`, `AMEX Qantas`, `AMEX TRAVEL ONLINE MERC SYDNEY`, `American Express Card`]"
"Anita Gelato","https://www.anita-gelato.com/","016b83e4-1b26-475f-9e80-1653931014fa","anita-gelato.com.jpg","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#ef1554","","","5451","(?i)Anita","[`LS ANITA GELATO`, `ANITA GELATO`]"
"Anita Gelato - Bondi Beach","https://www.anita-gelato.com/","87a36548-db10-46ed-9bcd-7358a15f8f48","","180 Campbell Parade, Bondi Beach NSW 2026, Australia","-33.8893474","151.2757978","","016b83e4-1b26-475f-9e80-1653931014fa","","","IACB4CE942C5C4F0A","ChIJmW0fv56tEmsRPJMmDKiTudE","5451","(?i)ANITA BB","[`ANITA BB                 Bondi Beach NSW`, `ANITA BB 66325          BONDI BEACH`, `ANITA BB, Bondi Beach`]"
"Anita Gelato - Canberra","https://www.anita-gelato.com/","ebdc6dc7-3888-407f-a807-b77d8d97a3ad","","148 Bunda St, Canberra ACT 2601, Australia","-35.2781843","149.1329664","","016b83e4-1b26-475f-9e80-1653931014fa","","","I3A5F350B536AD093","ChIJPZI14GVNFmsRV8wlOraA4oY","5451","(?i)ANITA ?GELATO\s+CANBERRA","[`AnitaGelato Canberra     Canberra    ACT`, `LS Anita Gelato          Canberra    AUS`]"
"Anita Gelato - Chippendale","https://www.anita-gelato.com/","e77d2ab2-2ea8-4acd-9abd-fa423eb64742","","28 Broadway, Chippendale NSW 2008, Australia","-33.8848184","151.2004891","","016b83e4-1b26-475f-9e80-1653931014fa","","","ID2313D53971AA6D1","ChIJWefMtieuEmsRDcJxqM4EgM0","5451","(?i)ANITA CK","[`ANITA CK`, `ANITA CK                 Chippendale NSW`, `ANITA CK, Chippendale`, `Anita Ck Chippendale`]"
"Anthropic","https://claude.ai","ea02e336-8e3e-44b2-b339-013f79783f19","claude.ai.jpg","500 Howard St, San Francisco, CA 94105, United States","37.787574","-122.396500","c9e1fc38-70b3-4517-82e2-a53bdea540d2","","","#da6b47","","","5817","(?i)(?:ANTHROPIC|CLAUDE)","[`CLAUDE.AI SUBSCR,SAN FRANCISCO`, `ANTHROPIC* CLAUD,SAN FRANCISCO`, `ANTHROPIC* CLAUDE SUB  SAN FRA`, `CLAUDE.AI SUBSCRIPTION SAN FRA`]"
