"code","separator","name"
"SQ","*","Square"
"SMP","*","SumUp"
"ZLR","*","Zeller"
"LSP","*","Lightspeed"
"LIGHTSPEED","*","Lightspeed"
"LIV","*","Liven"
"IPY","*","iPayment"
"DBS","*","Debit Success"
"CKO","*","Checkout.com"
"FSPRG","*","FastSpring"
"FS","*","FastSpring"
"VIVA","*","Viva Wallet"
"PAYPAL","*","PayPal"
"PP","*","PayPal"
"SP","*","Shopify"
"VISA","-","Visa network prefix"
"LS"," ","Lightspeed"
"SUMUP","*","SumUp"
"Zettle_","*","Zettle"
"EZI","*","Ezidebit"
"EB","*","Eventbrite"
"PADDLE.NET","*","Paddle"
"BT","*","Braintree"
"TST","*","Toast"
"3CPAYMENT","*","3C Payment"
"TILL PAYMENTS","*","Till Payments"
"WINDCAVE","*","Windcave"
"UZR","*","Unzer"
"NET","*","NETS"
"MEANDU","*","me&u"
"MR YUM","*","Mr Yum"
"TRYBOOKING","*","TryBooking"
"TAXIWORLD","*","Taxiworld"
"TXW","*","Taxiworld"
"LIVE PAYMENTS","*","Live Payments"
"FH","*","Fresha"
"WEB","*","Web payment prefix"
