"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"Asda","https://www.asda.com","10f25071-9bbe-4752-96b6-b01a1fd6f5bb","asda.com.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","","","","5411","(?i)^ASDA\b","[`ASDA HOME DELIVERY`, `ASDA HOME DELIVERY GBR`, `ASDA STORES, HAYDON GB`, `ASDA SUPERSTORE, BEDMINSTER GB`, `ASDA GROCERIES ONL`, `ASDA STORES LTD 5868 GRANGEMOUTH GBR`, `ASDA STORES 4777 FILTON GBR`, `ASDA STORES 4218 BURY ST EDMUN GBR`, `ASDA STORE LONGSIGHT GBR`, `ASDA STORES PARK ROYAL GBR`, `ASDA HOME DELIVERY, GB`, `ASDA SUPERSTORE BEDMINSTER GBR`, `ASDA SUPERSTORE, ADEL GB`, `ASDA STORE`, `ASDA STORES, FELTHAM GB`, `ASDA SUPERSTORE ISLE OF DOGS GB`, `ASDA SUPERSTORE 41, BOURNEMOUTH`, `ASDA SUPERSTORE 4159 BOURNEMOUTH GBR`, `ASDA STORES 4777`, `ASDA SUPERSTORE BURGH HEATH`, `ASDA STORES FELTHAM`, `ASDA STORES SHIPLEY`, `ASDA STORES EASTLANDS GB`, `ASDA GEORGE COM LE`, `ASDA SUPERSTORE 04236 TELFORD GBR`, `ASDA STORES LONDON`, `ASDA STORES 4876 LEWISHAM GBR`, `ASDA STRS ST HELEN`, `ASDA STORE HAYES GREATER LONDON`, `ASDA STORE LEWISHAM LEWISHAM`]"
"ASOS","https://www.asos.com","7e877268-a228-4faa-8bc5-5c0f2884e1b3","asos.com.jpg","","","","b3c87990-a047-49e1-a28b-ce3a50737a06","","","","","","5651","(?i)^ASOS\b","[`ASOS`, `ASOS.COM`]"
"B&M","https://www.bmstores.co.uk","9d54e01a-1075-4ac0-ae06-eb9ba47562bc","bmstores.co.uk.jpg","","","","8c798ad6-8bea-4ba3-84fd-405332cf4750","","","","","","5331","(?i)(?:^(?:B ?& ?M|B AND M|BM) (?:RETAIL|STORES)|^BARGAINS GALORE)","[`B&M RETAIL LTD LICHFIELD GBR`, `B&M STORES`, `B&M RETAIL LTD SHEFFIELD GBR`, `B&M RETAIL`, `B&M RETAIL LTD MARKHAM RD GB`, `B&M RETAIL LTD, LICHFIELD`, `B AND M RETAIL LTD, COWLEY GB`, `B&M RETAIL LTD PARK CENTRE GB`, `B & M RETAIL STOKE ON TREN GBR`, `B AND M RETAIL LTD, EDINBURGH GB`, `B&M RETAIL LTD EDINBURGH GBR`, `B & M RETAIL EDINBURGH GBR`, `B&M RETAIL LTD REDCARD GBR`, `BM RETAIL`, `B & M STORES LUTON BEDS`, `B&M RETAIL HS PEEL CENTR GB`, `B AND M RETAIL LTD, HINCKLEY GB`, `BARGAINS GALORE`, `B & M RETAIL, FORFAR`, `B&M RETAIL ROMFORD GB`, `B & M RETAIL HAYES GBR`, `B&M RETAIL LTD HAYMARKET`, `B&M RETAIL LTD WISHAW GB`, `B&M RETAIL LTD MARKHAM RD`, `B & M RETAIL LIVERPOOL GBR`, `B&M RETAIL LTD CHORLEY GBR`, `B&M RETAIL LTD LICHFIELD GB`, `B&M RETAIL LTD ORMSKIRK GBR`, `B & M RETAIL BISHOP'S STOR GBR`, `B AND M RETAIL LTD, CHEADLE GB`]"
"Boots","https://www.boots.com","8acd4d78-d656-4034-b663-fcc8be2081fa","boots.com.jpg","","","","7a717aa0-c18f-4724-9309-4751b894fa04","","","","","","5912","(?i)^BOOTS\b","[`BOOTS 2817 LONDON GBR`, `BOOTS, BRISTOL`, `BOOTS THE CHEMISTS`, `BOOTS, 0803`, `BOOTS 0884`, `BOOTS 0296, BRIDGEND GB`, `BOOTS 0707`, `BOOTS, 0803 LONDON GBR`, `BOOTS 1200`, `BOOTS THE CHEMIST BROMLEY`, `BOOTS.COM`, `BOOTS 1126`, `BOOTS, ISLINGTON`, `BOOTS, LONDON`, `BOOTS 0810`, `BOOTS 1067`, `BOOTS LONDON`, `BOOTS 2089`, `BOOTS THE`, `BOOTS/0680`, `BOOTS THE CHEMIST HOUNSLOW`, `BOOTS, TRAFFORD CNTR`, `BOOTS 2012`, `BOOTS 1014`, `BOOTS THE CHEMIST GATWICK`, `BOOTS 1984`, `BOOTS 0323 CARDIFF GBR`, `BOOTS.COM NOTTINGHAM UK NOTTINGHAM`, `BOOTS 1200 MANCHESTER GBR`, `BOOTS 0300`]"
"British Airways","https://britishairways.com","8b0f80df-e06b-47b6-9682-77e2e1d287e6","britishairways.com.png","","","","51eefe6d-d029-4504-99ac-1a6a0a98250e","","","#004bbd","","","4511","(?i)(?:BA INFLIGHT|^BRITISH AIRWAYS)","[`BRITISH AIRWAYS GB DIRE WEST DRAYTON`, `BA INFLIGHT SALES IAG C HARMONDSWORTH`, `BRITISH AIRWAYS AT DIRE AUSTRIA`]"
"BT","https://www.bt.com","5f893607-43b2-4be9-9c44-843d6fbdc7a4","bt.com.jpg","","","","dd9ef4e3-dcb3-4f27-a121-0a0af83a5b27","","","","","","4814","(?i)(?:^BT GROUP|BRITISH TELECOM)","[`BRITISH TELECOM`]"
"Clearpay","https://www.clearpay.co.uk","6ba32e22-be3d-4a07-833f-574d4c1dbae8","clearpay.co.uk.jpg","","","","f43efe0c-0ba1-4a28-9071-e7c90495989a","","","","","","","(?i)CLEARPAY","[`CLEARPAY`]"
"Co-op","https://www.coop.co.uk","e389d6e9-f8d0-4f45-8590-907baf6691f4","coop.co.uk.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","","","","5411","(?i)^(?:THE SOUTHERN )?CO-?OP(?:ERATIVE)?\b","[`CO-OP GROUP FOOD`, `CO-OP GROUP FOOD LONDON GBR`, `CO-OP GROUP FOOD RETAI LONDON GBR`, `CO-OP GROUP FOOD RETAI ANSTRUTHER GBR`, `CO-OP GROUP FOOD RETAI BRISTOL GBR`, `CO-OP GROUP FOOD RETAI PINXTON GBR`, `CO-OP GROUP 011831, KEGWORTH`, `THE SOUTHERN CO-OP`, `CO-OP FOOD ............ GBR`, `CO-OP GROUP FOOD RETAI SOUTHAMPTON GBR`, `CO-OP LUDGATE CIRCUS LONDON`, `CO-OP GROUP 070798`, `CO-OP GROUP FOOD, LONDON GB`, `CO-OP GROUP 108163 ELLESMERE POR GB`, `CO-OP GROUP FOOD RETAI MANCHESTER GBR`, `CO-OP GROUP FOOD RETAI GLASGOW GBR`, `CO-OP HEDGE END - LOWER SOUTHAMPTON`, `CO-OP GROUP 070273, ROYTON (SF) GB`, `CO-OP GROUP FOOD CARDIFF GBR`, `CO-OP GROUP 065981`, `CO-OP GROUP 010424`, `CO-OP GROUP 108018`, `CO-OP GROUP 070778`, `CO-OP GROUP FOOD SURBITON GBR`, `CO-OPERATIVE FOOD, UPPER RISSING`, `CO-OP GROUP 070284, MANCHESTER WE`, `CO-OP GROUP 310653 PARK GATE`, `CO-OP PUTNEY - LONDON LONDON`, `CO-OP GROUP 010431`, `CO-OP GROUP 108374`]"
"Costa Coffee","https://www.costa.co.uk","d95d2cc9-ced2-44a7-9d81-6a2c5c7d33fd","costa.co.uk.jpg","","","","7fc0cb32-bd3a-49b1-8a87-75c20ac1de0b","","","","","","5814","(?i)^COSTA COFFEE\b","[`COSTA COFFEE BATH`, `COSTA COFFEE LONDON E1`]"
"Deliveroo","https://deliveroo.co.uk","8de45cbc-e697-487e-8f79-4537d298d7b8","deliveroo.co.uk.jpg","","","","df638637-452d-4604-be0a-bad7cd332af5","","","","","","5812","(?i)^DELIVEROO","[`DELIVEROO`, `DELIVEROO.CO.UK LONDON`, `DELIVEROO.FR`]"
"easyJet","https://easyjet.com","086674f3-6a2b-4713-8a39-84ea3fd45fea","easyjet.com.png","","","","51eefe6d-d029-4504-99ac-1a6a0a98250e","","","#fe651c","","","4511","(?i)EASYJET","[`EASYJET*EASYJET ABCD1EF LUTON`]"
"EE","https://ee.co.uk","a21f99b0-a617-4f35-a0f3-f7d43586d0a7","ee.co.uk.jpg","","","","dd9ef4e3-dcb3-4f27-a121-0a0af83a5b27","","","","","","4814","(?i)EE LIMITED","[`EE LIMITED`]"
"Financial Times","https://ft.com","33176948-4d25-4e6a-aed7-800c62a6f3fd","ft.com.png","","","","186d9b38-6124-4811-89d6-b4970700059a","","","","","","5968","(?i)FINANCIAL TIMES","[`FINANCIAL TIMES 123456  LONDON`, `THE FINANCIAL TIMES`]"
